Q7604	Leonhard Euler
Q72984	Bing Crosby
Q34424	Shakira
Q553276	Steve Allen
Q467519	Randy Travis
Q83440	country music
Q3816	George Sand
Q51101	Jolin Tsai
Q25120	Pier Paolo Pasolini
Q2831	Michael Jackson
Q36233	Václav Havel
Q9387	Max Weber
Q40348	lawyer
Q318475	Randy Newman
Q78505	Peter Lorre
Q296872	Barry Gibb
Q5752	Peter Kropotkin
Q222	Albania
Q58612	Yehuda Amichai
Q158060	W.E.B. Du Bois
Q19074	Samuel P. Huntington
Q353442	Gabriel Lamé
Q864503	biologist
Q14441	Liza Minnelli
Q40874	Doris Lessing
Q332032	Alice Cooper
Q5685	Anton Chekhov
Q667661	literary realism
Q231106	Joan Jett
Q156774	Pedro II of Brazil
Q1967070	Svetlana Surganova
Q7749	rock and roll
Q414379	Academy of Useful Science
Q313755	Harry Connick Jr.
Q228546	Alphonse Daudet
Q350	Cambridge
Q1072120	Missile Technology Control Regime
Q347362	Fredric Jameson
Q38757	Bertolt Brecht
Q202735	Billy Bob Thornton
Q53001	Jean-Luc Godard
Q154804	Leipzig University
Q190251	Richard Wright
Q134456	Yukio Mishima
Q39246	Richard Feynman
Q476921	renal insufficiency
Q734	Guyana
Q25080	Ilya Oleynikov
Q108283	Alan Arkin
Q18419	Brooklyn
Q159551	Ignaz Moscheles
Q217557	Joyce Carol Oates
Q297816	Sammy Davis Jr.
Q43293	J. M. Coetzee
Q132964	Vladimir Mayakovsky
Q262294	Keren Ann
Q505994	Tony Visconti
Q232052	Asia Argento
Q155855	Karel Čapek
Q804	Panama
Q80510	Alla Pugacheva
Q843402	Warner Bros. Records
Q125666	Nyusha
Q9353	John Locke
Q131112	Paul Krugman
Q240523	Swizz Beatz
Q228860	Colbie Caillat
Q106740	Dorothy L. Sayers
Q228792	Dianna Agron
Q83501	Vladimir Prelog
Q60884	Günther Anders
Q41590	Mircea Eliade
Q75828	Heinrich Wilhelm Olbers
Q334	Singapore
Q274404	Claudio Magris
Q202449	David Ogden Stiers
Q49001	Whoopi Goldberg
Q193509	Taylor Momsen
Q596717	Phil Harris
Q8355	violin
Q6927	20th century
Q6512	Søren Kierkegaard
Q208101	Joseph Heller
Q229153	Michelle Williams
Q40912	Frank Sinatra
Q790	Haiti
Q63670	Peter Gay
Q84186	Ivan Illich
Q5146	Portuguese
Q313525	Lionel Hampton
Q12439	Detroit
Q1013	Lesotho
Q1008	Ivory Coast
Q131725	Joan Baez
Q244	Barbados
Q40213	William Butler Yeats
Q189758	Marvin Gaye
Q311267	Bobby Darin
Q33977	Jules Verne
Q180338	Christopher Lee
Q233946	Kate Voegele
Q313581	Nicolae Iorga
Q5327	Adolf Butenandt
Q413	physics
Q135139	Paul Jozef Crutzen
Q33240	Drake
Q104340	Harold Lloyd
Q261812	Drake Bell
Q7172	Arab League
Q294144	Lea Salonga
Q187760	new wave
Q358345	Billy Dee Williams
Q303	Elvis Presley
Q79969	Emma Goldman
Q172	Toronto
Q370560	David Crosby
Q151830	Melanie C
Q221450	Luciano Berio
Q172579	Kingdom of Italy
Q726251	Elektra
Q152388	Theodor W. Adorno
Q185832	Emmanuel Swedenborg
Q945	Togo
Q39989	Ronny Cox
Q184226	Gilles Deleuze
Q209842	University of Paris (1896-1968)
Q286022	Common
Q574	East Timor
Q84238	Peter Drucker
Q311068	Wallace Shawn
Q188426	Roy Orbison
Q4412	West Africa
Q705333	David Clayton-Thomas
Q189665	Ivan Goncharov
Q467027	Buffy Sainte-Marie
Q729117	Edmund White
Q159542	Jan Evangelista Purkyně
Q28513	Austria-Hungary
Q77060	Dietrich Fischer-Dieskau
Q107730	Vince Vaughn
Q366057	Patrice Chéreau
Q332525	Shannon Leto
Q180468	Albert Szent-Györgyi
Q34670	Albert Camus
Q152171	University of Bonn
Q467423	Robin Thicke
Q121507	Alicia Keys
Q213684	Tamara Bunke
Q507864	Donny Hathaway
Q325389	David A. Stewart
Q47480	Paul Dirac
Q310217	David Hemmings
Q104127	Douglas Fairbanks
Q352914	Karel Jaromír Erben
Q3866537	Movement Coordination Centre Europe
Q434915	Jann Arden
Q40096	Will Smith
Q238795	St. Vincent
Q1345514	Michael Penn
Q35610	Arthur Conan Doyle
Q21578	Princeton University
Q61197	Johann Christian Poggendorff
Q230916	Galina Vishnevskaya
Q683	Samoa
Q8349	Weird Al Yankovic
Q79838	accordion
Q937	Albert Einstein
Q169452	Shaquille O'Neal
Q817	Kuwait
Q783	Honduras
Q57139	Max Reger
Q115	Ethiopia
Q191088	Joe Jonas
Q179150	Sonny Bono
Q131252	University of Chicago
Q157155	Ernest Renan
Q730	Suriname
Q704015	Konstantin Fedin
Q220308	Seth Rogen
Q8646	Hong Kong
Q241835	Milva
Q62766	Jay-Z
Q191819	George Martin
Q12881	Paulo Coelho
Q909	Jorge Luis Borges
Q205721	Joni Mitchell
Q188461	Dannii Minogue
Q357974	Julian Lennon
Q539171	Dalida
Q712359	Roger Miller
Q241583	Bret Easton Ellis
Q15949613	short story writer
Q242	Belize
Q208116	Sergey Mikhalkov
Q230501	Christina Milian
Q77184	Leopold von Ranke
Q207036	A. A. Milne
Q237081	Ani Lorak
Q153185	Joseph Louis Gay-Lussac
Q298694	Method Man
Q6107	Tupac Shakur
Q55208	Andrei Konchalovsky
Q133163	percussion instrument
Q183397	Fred Hoyle
Q76772	Heinrich Wilhelm Gottfried von Waldeyer-Hartz
Q2822396	Academy of Sciences of Turin
Q161877	Ashanti
Q229274	Regina Spektor
Q346801	Peter Buck
Q152824	Susan Sontag
Q5333	Charles Lyell
Q41269	Henri Becquerel
Q229264	Georges-Louis Leclerc, Comte de Buffon
Q83333	James D. Watson
Q175104	Jennifer Love Hewitt
Q219631	Adam Levine
Q1886750	Van McCoy
Q58339	disco
Q37150	Lana Del Rey
Q7504	Irène Joliot-Curie
Q311802	Giuseppe Ungaretti
Q361297	Joe Jackson
Q313509	Bernard-Henri Lévy
Q206112	Willie Nelson
Q664	New Zealand
Q12362622	philanthropist
Q470334	Euclides da Cunha
Q1351177	Tim Rose
Q762	Leonardo da Vinci
Q30449	Avril Lavigne
Q380799	M. Pokora
Q215215	John Mayer
Q9204	C. S. Lewis
Q311476	Per Olov Enquist
Q9268	Judaism
Q16867	Edgar Allan Poe
Q233541	Lisa Lopes
Q276005	Charlotte Gainsbourg
Q48226	Ralph Waldo Emerson
Q243639	Jason Derulo
Q297598	Beatriz Luengo
Q309926	Lemmy Kilmister
Q42884	Germans
Q224650	Sarah McLachlan
Q222071	Courtney Love
Q235952	Gladys Knight
Q822146	lyricist
Q234356	Janelle Monáe
Q162005	Paul G. Allen
Q44606	Gackt
Q83287	Selena Gomez
Q2632	Ringo Starr
Q122020	Hilary Duff
Q397	Latin
Q310755	Camille Jordan
Q443120	Lance Bass
Q436712	Ben Elton
Q6527	Jean-Jacques Rousseau
Q512	Vladimir Vysotsky
Q542101	Boris Grebenshchikov
Q16287483	opinion journalist
Q168468	David Brewster
Q73463	Miguel
Q1039	São Tomé and Príncipe
Q190770	Philip Warren Anderson
Q37068	Romanticism
Q105460	John Denver
Q44398	Falco
Q61078	Walter Benjamin
Q8178443	librettist
Q82083	John Keats
Q39631	physician
Q330629	Sony Music
Q888152	Bob Mould
Q265	Uzbekistan
Q461104	Jaroslav Vrchlický
Q15975	Montesquieu
Q6694	Alexander von Humboldt
Q5608	Eminem
Q77143	Thomas Anders
Q155700	Chris Brown
Q433060	Daniel Johnston
Q18391	Elie Wiesel
Q11299	Manhattan
Q846	Qatar
Q1137381	Arab Fund for Economic and Social Development
Q842324	indie pop
Q54860	Walt Disney Records
Q45765	Jack London
Q14277	William Herschel
Q1203	John Lennon
Q80440	Anna Akhmatova
Q94081	Bob Hope
Q217	Moldova
Q348533	Nick Cannon
Q2059704	television director
Q208871	Ike Turner
Q41173	Demi Lovato
Q1965416	Diana Arbenina
Q193710	Ne-Yo
Q781	Antigua and Barbuda
Q3369762	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean
Q451812	Lianne La Havas
Q8018	Augustine of Hippo
Q7302	George Frideric Handel
Q966565	Tex Ritter
Q170515	Omar Sharif
Q21590660	Western
Q189950	Osip Mandelstam
Q47216	Condoleezza Rice
Q229139	Peggy Lee
Q45177	Visa Waiver Program
Q122003	Julio Iglesias
Q179282	Steven Weinberg
Q425821	Mark Ronson
Q18430	Joseph E. Stiglitz
Q44086	Carl Orff
Q784	Dominica
Q151972	Josephine Baker
Q1046616	Tim Rice-Oxley
Q237	Vatican City
Q158852	conductor
Q192668	Nick Cave
Q705715	RuPaul
Q22686	Donald Trump
Q924	Tanzania
Q179126	John Ruskin
Q47164	Santa Monica
Q981971	Mario Praz
Q702	Federated States of Micronesia
Q443897	Gretchen Wilson
Q40640	Ray Bradbury
Q24925	science fiction
Q235	Monaco
Q192912	Stephen Fry
Q1480793	Nuclear Suppliers Group
Q947519	John Ciardi
Q132524	Ayn Rand
Q380381	Dave Matthews
Q355009	Jackson Browne
Q220192	Zoolander
Q115483	Max Frisch
Q76546	Erich Kästner
Q23530	Dmitry Medvedev
Q27621	Saint Petersburg State University
Q336278	Neil Tennant
Q60070	Friedrich Wilhelm Joseph Schelling
Q842	Oman
Q432421	Natasha Shneider
Q168362	John Desmond Bernal
Q36290	Diana Ross
Q6096	Snoop Dogg
Q1239933	Donald Glover
Q168452	Jean-Victor Poncelet
Q51488	John Cassavetes
Q61318	August Ludwig von Schlözer
Q1075651	keyboardist
Q191999	Robert McNamara
Q170842	Sergei Korolev
Q76478	Kirsten Dunst
Q336222	Tito Jackson
Q312870	Jerry Garcia
Q7351	Robert Schumann
Q19350898	theoretical physicist
Q117249	Robbie Robertson
Q399	Armenia
Q13955	Arabic
Q262314	Chris Rea
Q182046	Leon Battista Alberti
Q319084	Al Franken
Q215868	Alice Walker
Q76432	Rudolf Virchow
Q242110	Ayọ
Q60579	Moritz von Jacobi
Q505476	Avicii
Q231270	Khloé Kardashian
Q34086	Justin Bieber
Q810	Jordan
Q1031340	Mark Linkous
Q9095	James Clerk Maxwell
Q557632	Decca
Q187814	Tracy Chapman
Q22670	Friedrich Schiller
Q229013	Sarah Silverman
Q238	San Marino
Q167821	Gore Vidal
Q57384	Wernher von Braun
Q859	Plato
Q80739	Charlton Heston
Q157400	Idina Menzel
Q48990	Nikolay Semyonov
Q49738	German Academy of Sciences at Berlin
Q310170	Curtis Mayfield
Q192655	Lara Fabian
Q47426	Milton Friedman
Q5928	Jimi Hendrix
Q272069	Damon Albarn
Q3335	George Orwell
Q5950	James Brown
Q5921	Chuck Berry
Q313013	Brian Wilson
Q1060636	Daniel Handler
Q45909	John Cale
Q154331	György Ligeti
Q93341	Miles Davis
Q236212	Petula Clark
Q265179	Rita Lee
Q1053574	executive producer
Q190379	Ian McEwan
Q962	Benin
Q106225	Jean Yanne
Q151814	Sarah Brightman
Q310343	Dudley Moore
Q111436	Elmer Bernstein
Q76641	Felix Klein
Q572741	Kwame Anthony Appiah
Q4028	Paul Simon
Q217191	soft rock
Q230454	k.d. lang
Q46599	Mikhail Lermontov
Q313185	Fritz Leiber Junior
Q112307	Lena Horne
Q104000	Lauren Bacall
Q7542	Prince
Q555226	Sid Caesar
Q219878	Emma Bunton
Q538	Oceania
Q18425	Marcellin Berthelot
Q61813	Abraham Gotthelf Kästner
Q104266	Mel Brooks
Q41513	William Blake
Q150526	Santiago Ramón y Cajal
Q237324	Lisa Marie Presley
Q61374	Wolfhart Pannenberg
Q232085	Lil Mama
Q1132636	Serbian Academy of Sciences and Arts
Q167696	Nicole Scherzinger
Q7184	NATO
Q256708	Sabrina Bryan
Q471443	Ilya Ilf
Q1014	Liberia
Q23543	Selena
Q676	prose
Q278625	Vladimir Solovyov
Q25147	Franco Battiato
Q34787	Friedrich Engels
Q105875	Herbie Hancock
Q47695	Rudolf Christoph Eucken
Q153238	Leó Szilárd
Q15873	Brian May
Q387539	Hollywood Records
Q359665	David Walliams
Q57281	August Wilhelm Schlegel
Q289064	Felipe Colombo
Q239786	Alexz Johnson
Q34628	Gotthold Ephraim Lessing
Q164444	funk
Q874	Turkmenistan
Q83643	Andrey Gubin
Q325396	Judd Apatow
Q44695	Konstantin Simonov
Q11617	Aaliyah
Q42574	James Cameron
Q164401	Simon Newcomb
Q11907	Mark Oliver Everett
Q202878	Mae West
Q362422	Vince Neil
Q186329	Mika
Q215300	Jordin Sparks
Q38082	Lewis Carroll
Q125057	Richard Francis Burton
Q25144	Kevin Spacey
Q8908	Council of Europe
Q41309	Franz Liszt
Q42156	Henri Bergson
Q55796	Peter Ustinov
Q93401	Franz Miklosich
Q361677	Mick Ronson
Q12807	Umberto Eco
Q198962	Sandy
Q156814	Yehudi Menuhin
Q3772571	Caribbean Development Bank
Q1281738	Kinky Friedman
Q183167	G. K. Chesterton
Q299015	Austrian Academy of Sciences
Q34389	Whitney Houston
Q312288	George Ellery Hale
Q80135	Dmitri Shostakovich
Q12585	Latin America
Q272943	Joe Dassin
Q678	Tonga
Q236066	AJ Michalka
Q192165	Danny Glover
Q295431	Julian Barnes
Q23434	Ernest Hemingway
Q901402	geographer
Q154216	Cat Stevens
Q60128	Alexander Alexandrovich Fadeyev
Q240377	Amanda Palmer
Q210059	Neil Gaiman
Q835	Mikhail Bulgakov
Q298388	Noël Coward
Q763	Saint Kitts and Nevis
Q1988375	Oleg Skripka
Q371202	Big Boi
Q2865819	opera singer
Q11975	Britney Spears
Q128758	satire
Q690974	Brandy Norwood
Q2329	chemistry
Q240933	Joan Rivers
Q230068	Ève Curie
Q1350157	music critic
Q200639	Paul Valéry
Q282722	Trent Reznor
Q70737	Hans Mayer
Q274342	Tatyana Tolstaya
Q246497	Mstislav Keldysh
Q117467	Royal Society of Edinburgh
Q232462	Ani DiFranco
Q357455	Ray Davies
Q49451	progressive rock
Q117021	Oswald Heer
Q55044	Ludwig Maximilian University of Munich
Q157322	Romain Gary
Q302762	Barry Manilow
Q61407	Ernst Curtius
Q535	Victor Hugo
Q1666	Jacques Brel
Q7204	Middle East
Q952491	Ian McLagan
Q7439	Richard Stallman
Q17455	John von Neumann
Q79759	John Milton
Q204005	Debby Ryan
Q333265	Léon Theremin
Q1348831	Lowell George
Q319392	Marlon Jackson
Q213736	Bridgit Mendler
Q216563	Paul Anka
Q122701	William Thomson, 1st Baron Kelvin
Q57106	Heinrich Schliemann
Q9027	Swedish
Q354181	Steven Van Zandt
Q193676	Ludacris
Q180453	Dolly Parton
Q23556	Atlanta
Q954997	Michael Nesmith
Q722042	Master P
Q3348506	AFRISTAT
Q151403	Thomas Carlyle
Q347528	Liberace
Q239587	Aimee Mann
Q151892	Ariana Grande
Q1009	Cameroon
Q167475	Jacques Rivette
Q386053	Donny Osmond
Q15980158	non-fiction writer
Q299138	Kid Cudi
Q217467	art rock
Q57802	Gotthelf Fischer von Waldheim
Q169566	H. P. Lovecraft
Q205375	inventor
Q154556	Karlheinz Stockhausen
Q295923	MC Hammer
Q303207	Ricky Nelson
Q2338889	MCA Records
Q57619	Frank Wedekind
Q8011	Avicenna
Q216221	Steve Carell
Q103114	Michel Houellebecq
Q483203	Sting
Q38848	heavy metal
Q501	Charles Baudelaire
Q49542	Russians
Q194220	Nas
Q100937	Fred Astaire
Q272203	Van Morrison
Q168756	University of California, Berkeley
Q275641	Julie Driscoll
Q183337	David Attenborough
Q230943	China Anne McClain
Q230836	Emilie Autumn
Q161363	Zbigniew Herbert
Q414110	Academy of Arts, Berlin
Q298209	Willow Smith
Q182665	Iggy Pop
Q84509	Felix Philipp Kanitz
Q220550	Ján Kollár;
Q3057567	Erwin Raisz
Q362353	Vincent Gallo
Q187199	Carlo Rubbia
Q16957	German Democratic Republic
Q561401	Spike Milligan
Q128121	Mick Jagger
Q477461	Amr Diab
Q362258	Vitas
Q201538	Edward Said
Q1928989	Treaty on Open Skies;
Q170509	Henry James
Q85914	Herman Francis Mark
Q46633	Charles Babbage
Q9682	Elizabeth II
Q350362	James Blake
Q7013	Lena Meyer-Landrut
Q41351	Jodie Foster
Q42747	Heinrich Böll
Q1234713	theologian
Q155412	Toni Braxton
Q4029	Tara Strong
Q214227	T.I.
Q213662	Karl Lachmann
Q319374	Leon Russell
Q624307	Arab Monetary Fund;
Q46706	Eugène Ionesco
Q989	John Paul II
Q131433	Shania Twain
Q295919	Sam Cooke
Q9056	Czech
Q1175266	David Lindley
Q533284	Gustavo Cerati
Q193744	Tori Amos
Q234773	Priscilla Presley
Q49734	Cass Elliot
Q167635	Tyler, the Creator
Q1225	Bruce Springsteen
Q44306	Salman Rushdie
Q19199	Brad Delson
Q270085	Shen Kuo
Q520549	geologist
Q57554	Georg Christoph Lichtenberg
Q290197	Joumana Haddad
Q14281	Giovanni Schiaparelli
Q1195390	Andrew Ridgeley
Q333	astronomy
Q359568	Vladimir Obruchev
Q1716	Renaud
Q117139	Wiz Khalifa
Q104668	Vitaly Ginzburg
Q180619	Stephen Jay Gould
Q272031	Jack White
Q7042855	film editor
Q218992	Nelly
Q2071	David Lynch
Q470758	Colm Tóibín
Q36949	Robert De Niro
Q2079	Leipzig
Q150471	E. T. A. Hoffmann
Q196287	Mihajlo Pupin
Q9327	Guy de Maupassant
Q106706	Jeff Goldblum
Q215026	Debbie Harry
Q130799	James Blunt
Q49081	Christopher Hitchens
Q156942	Charles Wheatstone
Q76683	Ludwig Prandtl
Q180727	John Cage
Q311115	Henri Victor Regnault
Q135481	Lev Gumilyov
Q44176	Hulk Hogan
Q4617	Corbin Bleu
Q25379	play
Q8246794	blogger
Q1046038	Enzo Jannacci
Q464218	Connie Smith
Q127856	Beverly Hills
Q193355	blues rock
Q107405	Lars Onsager
Q1514	Janis Joplin
Q39803	Mario Vargas Llosa
Q5749	Pierre-Joseph Proudhon
Q154756	Italo Calvino
Q283408	Dmitry Glukhovsky
Q209471	Telly Savalas
Q159642	František Palacký
Q227129	Zoë Kravitz
Q81244	Karl Popper
Q170042	Bill Monroe
Q187166	Antonin Artaud
Q1047474	Brendon Urie
Q184572	Martin Sheen
Q41488	Wole Soyinka
Q291405	Sky Ferreira
Q216936	Sean Combs
Q333873	Valentin Kataev
Q309555	Michael Cera
Q104791	Ed Harris
Q1512	Robert Louis Stevenson
Q374362	Nikolay Ogarev
Q217750	Violetta Villas
Q235515	Janis Ian
Q37944	Masiela Lusha
Q442830	Ivan Urgant
Q299965	Ralph Ellison
Q73089	Gene Kelly
Q7315	Pyotr Ilyich Tchaikovsky
Q205456	Theo van Gogh
Q36488	Guglielmo Marconi
Q151872	Amos Oz
Q306122	Hyde
Q58978	Max Born
Q436693	Ivor Novello
Q79078	Wilhelm Blaschke
Q228968	Fiona Apple
Q308711	Vladislav Krapivin
Q169038	Zdeněk Nejedlý
Q189080	Lou Reed
Q233736	Mýa
Q11812	Thomas Jefferson
Q283859	Edvard Radzinsky
Q438164	Samuel R. Delany
Q156749	Adolf Erik Nordenskiöld
Q62	San Francisco
Q182589	William Morris
Q335142	Alexander Bogdanov
Q122968	Alexander Emanuel Agassiz
Q83158	Jean Cocteau
Q708963	Allan Sherman
Q46739	Octavio Paz
Q61723	Gustav Landauer
Q27645	Mikhail Bakunin
Q2685	Arnold Schwarzenegger
Q167546	Lucio Dalla
Q1377134	Graham Parker
Q311241	Bobby Brown
Q233529	Dee Dee Bridgewater
Q185002	Mylène Farmer
Q298838	Billy Connolly
Q1067043	Charlie Wilson
Q302497	mandolin
Q9317	John Maynard Keynes
Q180268	gospel music
Q42775	Johnny Cash
Q45255	Karl Valentin
Q311450	Billy Preston
Q36844	Rihanna
Q192410	Jennifer Hudson
Q1209498	poet lawyer
Q704696	Ray Lankester
Q188137	J. J. Abrams
Q388035	Gloria Trevi
Q216913	Deryck Whibley
Q270951	Alsou
Q130631	Jacques Derrida
Q207898	Manu Chao
Q182725	Etta James
Q38392	William Faulkner
Q239917	Tina Arena
Q11930	Kevin Costner
Q297794	Yasmina Reza
Q25351	Theodor Mommsen
Q35032	Eastern Orthodox Church
Q7747	Vladimir Putin
Q318004	Antoine César Becquerel
Q203223	Ciara
Q1196752	traditional pop music
Q185007	Rita Levi-Montalcini
Q938622	Pontifical Academy of Sciences
Q732513	Jô Soares
Q188459	Goldie Hawn
Q201562	Hayley Williams
Q214642	Paul Auster
Q75612	Isaac Bashevis Singer
Q32927	Valery Leontiev
Q636	Kate Bush
Q704742	Sticky Fingaz
Q1449438	Mick Wingert
Q21077	Warner Music Group
Q294531	Neil Diamond
Q171363	Viggo Mortensen
Q78704	Hanns Eisler
Q251287	Waylon Jennings
Q345325	Harry Shearer
Q17714	Stephen Hawking
Q165980	University of Vienna
Q4783148	Arab Bank for Economic Development in Africa
Q485310	Neil Patrick Harris
Q44857	John Legend
Q155907	Sir George Stokes, 1st Baronet
Q381884	Sergey Lazarev
Q704931	Edmund Wilson
Q154770	Arnold Schoenberg
Q25320	Paul Langevin
Q52447	RZA
Q77109	Golo Mann
Q186264	Darius Milhaud
Q184750	Slavoj Žižek
Q262838	Cree Summer
Q862	Joseph Brodsky
Q134798	Haruki Murakami
Q18805	naturalist
Q78492	Tomáš Garrigue Masaryk
Q3986379	The Compleat Beatles
Q5043	Christianity
Q22072	John Farnham
Q8704	Walt Disney
Q37327	Samuel Beckett
Q207947	Ralph Vaughan Williams
Q1238570	political scientist
Q710	Kiribati
Q228733	Lea Michele
Q1373347	Martie Maguire
Q213579	Ernst Chladni
Q39829	Stephen King
Q235946	Elizabeth Bishop
Q41166	Jonathan Swift
Q157242	Alexander R. Todd, Baron Todd
Q150989	Frédéric Joliot-Curie
Q232592	Jill Scott
Q110462	Julie Delpy
Q312252	Andy Griffith
Q190076	Joe Cocker
Q504	Émile Zola
Q713750	West Germany
Q675	André-Marie Ampère
Q186042	John Kenneth Galbraith
Q155860	Andrey Vyshinsky
Q7199	Marcel Proust
Q16297	William Shatner
Q1067	Dante Alighieri
Q41568	Michel de Montaigne
Q181573	Fazil Iskander
Q116309	Nicholas Marr
Q1176607	Ross Bagdasarian Sr.
Q29055	Sacha Baron Cohen
Q55456	Nino Manfredi
Q949	John Bardeen
Q102813	Yul Brynner
Q50713	Jean Renoir
Q51094	Yuri Shevchuk
Q53714	Chord Overstreet
Q215359	Dean Martin
Q204804	Beth Hart
Q77024	Lion Feuchtwanger
Q313138	Redman
Q310048	Don DeLillo
Q34166	Slash
Q214191	Michael Mann
Q194045	Steven Tyler
Q3291340	Société Philomathique de Paris
Q17457	Donald Knuth
Q158078	Alfred Schnittke
Q50764	Éric Rohmer
Q76442	Johann Christoph Gottsched
Q57244	Paul Hindemith
Q233817	Debbie Gibson
Q166796	GoonRock
Q359552	Gordon Lightfoot
Q366671	Jan Hammer
Q202729	Jerry Lee Lewis
Q430076	Marc Connelly
Q2305208	Russian Soviet Federative Socialist Republic
Q102822	Jacobus Henricus van 't Hoff
Q536723	Lori Lieberman
Q184249	Kelly Rowland
Q960081	Kenneth Burke
Q224159	William H. Macy
Q455236	Alexis Korner
Q150916	Jon Bon Jovi
Q189599	Keith Richards
Q678551	American Jews
Q44107	Peter Handke
Q37030	Thomas Mann
Q32849	Akon
Q190631	Bette Midler
Q654283	Def Jam Recordings
Q1112005	Queen Latifah
Q311	Père Lachaise Cemetery
Q76686	August Schleicher
Q4473	Jennette McCurdy
Q157271	Friedrich Schlegel
Q25014	John Cleese
Q188375	Lucy Liu
Q54945	Hannes Alfvén
Q533369	Saul Williams
Q157318	Leszek Kołakowski
Q672	Tuvalu
Q41594	Christina Aguilera
Q47899	Paris Hilton
Q151991	European Southern Observatory
Q232113	Anna Karina
Q41076	Mariah Carey
Q6078	Dr. Dre
Q236351	Stacie Orrico
Q311238	Sean Lennon
Q287177	ABC Records
Q2416148	Vladimir Turchinsky
Q277356	Sergei Gerasimov
Q187165	Dave Mustaine
Q887347	Bo Burnham
Q7318	Nazi Germany
Q45321	Harald Lesch
Q58735	Lily Allen
Q208117	Bella Thorne
Q269927	David Mamet
Q86820	Hugo Huppert
Q918966	Nahum Sokolow
Q83396	Eleanor Roosevelt
Q78491	Stefan Zweig
Q11826	Al-Biruni
Q295537	Eduard Limonov
Q334670	Ted Nugent
Q4042	CeeLo Green
Q242873	Ingrid Michaelson
Q487491	Anatole Abragam
Q311193	Yoshiki
Q27407	East Africa
Q7546	Ingmar Bergman
Q208175	Novodevichy Cemetery
Q3033	Göttingen
Q336018	Julian Fellowes
Q311232	Tyrese Gibson
Q239195	Hayley Kiyoko
Q80222	Joseph-Louis Lagrange
Q310300	James Taylor
Q77144	Leo Strauss
Q156201	Roman Jakobson
Q194287	Joe Satriani
Q2914170	street artist
Q44221	Sean Penn
Q242792	Laura Marano
Q234891	Yo-Yo Ma
Q1334617	Raymond Scott
Q451608	Gaspard de Prony
Q216692	Ludvig Holberg
Q1095432	Clarence Gatemouth Brown
Q34433	University of Oxford
Q176909	Walker Percy
Q410	Carl Sagan
Q4538	Jonathan Winters
Q83338	Robin Williams
Q332462	Ivan Franko
Q984644	Gavriil Troyepolsky
Q2680	Bruce Willis
Q351061	Ryan Tedder
Q63458	Theodor Nöldeke
Q188111	Ayumi Hamasaki
Q9438	Thomas Aquinas
Q208681	Kris Kristofferson
Q730261	Fredro Starr
Q204751	Anthony Kiedis
Q165219	Robert Downey, Jr.
Q307	Galileo Galilei
Q471664	Leonid Leonov
Q131755	bipolar disorder
Q34296	Woodrow Wilson
Q201732	Robert Graves
Q42	Douglas Adams
Q55004	Kurt Weill
Q42229	Mel Gibson
